tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Visual Arts,135,Brigham Young University,Jennifer,,Barton,883418,20,good,TEACHER,PROFESSOR,4.2
Russian,135,Brigham Young University,Irina,,Baskova,2484661,3,good,TEACHER,PROFESSOR,4.7
Humanities,135,Brigham Young University,Tonya,,Basset,1675023,1,good,TEACHER,PROFESSOR,4.0
English,135,Brigham Young University,Riley,,Bassett,1951422,4,good,TEACHER,PROFESSOR,4.8
Comparative Literature,135,Brigham Young University,Conner,,Bassett,2154812,4,good,TEACHER,PROFESSOR,5.0
Classical Studies,135,Brigham Young University,Gregory,Le,Baum,2052244,4,good,TEACHER,PROFESSOR,3.8
English,135,Brigham Young University,Natalie,,Baxter,943433,6,good,TEACHER,PROFESSOR,4.8
Mathematics,135,Brigham Young University,Jennifer,,Baxter,1099563,7,good,TEACHER,PROFESSOR,4.2
English,135,Brigham Young University,Christa,,Baxter,1740369,3,good,TEACHER,PROFESSOR,4.8
Organizational Ldrshp  Strat,135,Brigham Young University,Brian,D,Baxter,2217854,1,good,TEACHER,PROFESSOR,5.0
Chemical Engineering,135,Brigham Young University,Larry,,Baxter,514685,8,good,TEACHER,PROFESSOR,4.1
Linguistics,135,Brigham Young University,Nicole,,Bay,2211061,23,good,TEACHER,PROFESSOR,4.0
Classics,135,Brigham Young University,Stephen,,Bay,931946,67,good,TEACHER,PROFESSOR,4.2
Dance,135,Brigham Young University,Emily,Elizabeth,Bayles,2562584,1,good,TEACHER,PROFESSOR,5.0
Family & Consumer Science,135,Brigham Young University,Amanda,,Beal,883085,3,good,TEACHER,PROFESSOR,4.7
Family Studies,135,Brigham Young University,Roy,,Bean,1014586,10,good,TEACHER,PROFESSOR,4.0
Elementary Education,135,Brigham Young University,Lisa,,Bean,1112283,10,good,TEACHER,PROFESSOR,4.6
