tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
English,136,Brigham Young University - Hawaii,Lorraine,,Lucrecio,2381678,2,good,TEACHER,PROFESSOR,5.0
Chemistry,136,Brigham Young University - Hawaii,Georgi,,Lukov,1489103,5,good,TEACHER,PROFESSOR,3.8
Physical Ed,136,Brigham Young University - Hawaii,C.,,Lum,557116,7,average,TEACHER,PROFESSOR,3.4
Business,136,Brigham Young University - Hawaii,Rex,,Madsen,835346,1,good,TEACHER,PROFESSOR,5.0
Psychology,136,Brigham Young University - Hawaii,Diana,,Mahony,226166,10,average,TEACHER,PROFESSOR,2.7
English,136,Brigham Young University - Hawaii,Maryann,,Mapu,341883,7,average,TEACHER,PROFESSOR,2.5
Religion,136,Brigham Young University - Hawaii,Stephanie,,Marcum,2602075,1,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,Jared,,Marcum,2053258,111,good,TEACHER,PROFESSOR,4.4
English,136,Brigham Young University - Hawaii,Michael,,Marler,837955,12,good,TEACHER,PROFESSOR,4.2
English,136,Brigham Young University - Hawaii,Myrna,,Marler,959428,10,good,TEACHER,PROFESSOR,4.0
Religion,136,Brigham Young University - Hawaii,Eric-Jon,,Marlowe,1654056,15,good,TEACHER,PROFESSOR,4.8
Computer Science,136,Brigham Young University - Hawaii,Justin,,Marshall,2362923,3,poor,TEACHER,PROFESSOR,2.0
Education,136,Brigham Young University - Hawaii,Francisca,Butac,Marshall,2647969,1,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,Marcus,,Martins,410288,41,good,TEACHER,PROFESSOR,3.9
Intercultural Studies,136,Brigham Young University - Hawaii,Phillip,,McArthur,1993798,1,good,TEACHER,PROFESSOR,4.0
Anthropology,136,Brigham Young University - Hawaii,Phillip,,McArthur,443836,13,good,TEACHER,PROFESSOR,4.8
Languages,136,Brigham Young University - Hawaii,Elaine,,McArthur,959441,19,good,TEACHER,PROFESSOR,4.7
Health Science,136,Brigham Young University - Hawaii,thomas,,mcbride,2435490,2,good,TEACHER,PROFESSOR,5.0
Intercultural Studies,136,Brigham Young University - Hawaii,Phillip,,McArthur,1993798,1,good,TEACHER,PROFESSOR,4.0
Anthropology,136,Brigham Young University - Hawaii,Phillip,,McArthur,443836,13,good,TEACHER,PROFESSOR,4.8
Languages,136,Brigham Young University - Hawaii,Elaine,,McArthur,959441,22,good,TEACHER,PROFESSOR,4.7
Health Science,136,Brigham Young University - Hawaii,Tara,,McBride,2435487,1,good,TEACHER,PROFESSOR,5.0
Health Science,136,Brigham Young University - Hawaii,thomas,,mcbride,2435490,3,good,TEACHER,PROFESSOR,4.7
History,136,Brigham Young University - Hawaii,Richard,,McBride,1607645,15,good,TEACHER,PROFESSOR,3.8
Music,136,Brigham Young University - Hawaii,Scott,,McCarrey,1010078,3,good,TEACHER,PROFESSOR,5.0
Music,136,Brigham Young University - Hawaii,Stacy,,McCarrey ,2000954,1,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,Roger,,McCarty,2653944,1,poor,TEACHER,PROFESSOR,1.0
Religion,136,Brigham Young University - Hawaii,Marsha,,McCarty,2653946,1,poor,TEACHER,PROFESSOR,1.0
Design,136,Brigham Young University - Hawaii,Anna,,McConnell,2352188,3,poor,TEACHER,PROFESSOR,2.0
Social Work,136,Brigham Young University - Hawaii,Martin,,McDonell,1782657,3,good,TEACHER,PROFESSOR,4.8
Mathematics,136,Brigham Young University - Hawaii,Steven,,McKay,730578,2,good,TEACHER,PROFESSOR,3.5
Health Science,136,Brigham Young University - Hawaii,Kate,,McLellan,2408077,251,good,TEACHER,PROFESSOR,4.9
Mathematics,136,Brigham Young University - Hawaii,Elaine,,Merril,955818,10,poor,TEACHER,PROFESSOR,2.0
Religion,136,Brigham Young University - Hawaii,Byron,,Merrill,689384,2,good,TEACHER,PROFESSOR,5.0
Fine Arts,136,Brigham Young University - Hawaii,Jeff,,Merrill,1753377,3,good,TEACHER,PROFESSOR,4.3
Art History,136,Brigham Young University - Hawaii,Anna,,Merrill,2629448,4,good,TEACHER,PROFESSOR,4.8
Graphic Arts,136,Brigham Young University - Hawaii,Jay,,Merryweather,1842773,2,good,TEACHER,PROFESSOR,4.8
Religion,136,Brigham Young University - Hawaii,Peter,,Meyers,2741650,1,good,TEACHER,PROFESSOR,5.0
Religion,136,Brigham Young University - Hawaii,Brian,,Mickelson,2023069,1,good,TEACHER,PROFESSOR,5.0
English,136,Brigham Young University - Hawaii,Karen,,Miller,1619803,2,poor,TEACHER,PROFESSOR,1.5
Intercultural Studies,136,Brigham Young University - Hawaii,Shemaina,Jory,Miller,2419764,1,good,TEACHER,PROFESSOR,5.0
Psychology,136,Brigham Young University - Hawaii,Ronald,,Miller,747253,26,good,TEACHER,PROFESSOR,4.3
