tDept,tSid,institution_name,tFname,tMiddlename,tLname,tid,tNumRatings,rating_class,contentType,categoryType,overall_rating
Academic Services,1754,Brigham Young University - Idaho,Daniel,,Baird,893515,50,good,TEACHER,PROFESSOR,4.8
English,1754,Brigham Young University - Idaho,Aimee,Haderlie,Baker,2078474,2,poor,TEACHER,PROFESSOR,1.8
Communication,1754,Brigham Young University - Idaho,Maurianne,,Baker,2610435,1,good,TEACHER,PROFESSOR,4.0
Health Science,1754,Brigham Young University - Idaho,JoDee,,Baker,2420389,5,good,TEACHER,PROFESSOR,3.6
Biology,1754,Brigham Young University - Idaho,Lanning R.,,Baker,1638872,105,good,TEACHER,PROFESSOR,4.2
Biology,1754,Brigham Young University - Idaho,Adam,,Baker,2321838,6,good,TEACHER,PROFESSOR,4.2
English,1754,Brigham Young University - Idaho,Krystal,K.,Baker Chipman,2249949,5,good,TEACHER,PROFESSOR,4.6
Electrical Engineering,1754,Brigham Young University - Idaho,Thomas,,Baldwin,2115011,4,poor,TEACHER,PROFESSOR,1.4
Mathematics,1754,Brigham Young University - Idaho,Carol,,Baldwin,2576573,1,good,TEACHER,PROFESSOR,5.0
Communication,1754,Brigham Young University - Idaho,Sharon,,Baldwin,2236355,3,average,TEACHER,PROFESSOR,3.0
Business,1754,Brigham Young University - Idaho,Beth,,Baldwin,2580899,2,good,TEACHER,PROFESSOR,5.0
Mathematics,1754,Brigham Young University - Idaho,Donald,,Baldwin,2347839,8,average,TEACHER,PROFESSOR,2.8
Computer Information Technology,1754,Brigham Young University - Idaho,Steven,,Bale,2446700,2,poor,TEACHER,PROFESSOR,1.0
Education,1754,Brigham Young University - Idaho,Joy,,Ball,1954688,26,good,TEACHER,PROFESSOR,3.7
Communication,1754,Brigham Young University - Idaho,Michael,,Ballard,2476139,2,good,TEACHER,PROFESSOR,4.5
Foundations,1754,Brigham Young University - Idaho,Tom,,Ballard,2467447,9,good,TEACHER,PROFESSOR,3.8
Music,1754,Brigham Young University - Idaho,Adam,B,Ballif,1753898,13,good,TEACHER,PROFESSOR,3.5
Mathematics,1754,Brigham Young University - Idaho,Kristin,,Ballou,504883,33,good,TEACHER,PROFESSOR,4.7
Mathematics,1754,Brigham Young University - Idaho,Sandra,,Balmforth,1885150,18,average,TEACHER,PROFESSOR,3.4
Online Learning,1754,Brigham Young University - Idaho,Russell,C,Bangerter,2096567,7,average,TEACHER,PROFESSOR,3.4
Foundations,1754,Brigham Young University - Idaho,Suzanne,,Bannan,2470441,21,poor,TEACHER,PROFESSOR,1.5
Communication,1754,Brigham Young University - Idaho,Marshiela,,Banner,2709789,1,good,TEACHER,PROFESSOR,5.0
Computer Science,1754,Brigham Young University - Idaho,Geoff,,Barbier,2611239,1,good,TEACHER,PROFESSOR,5.0
General Studies,1754,Brigham Young University - Idaho,Devan,Lynn,Barker,2349545,1,average,TEACHER,PROFESSOR,3.0
Online Learning,1754,Brigham Young University - Idaho,Jerry,,Barker,2351575,1,good,TEACHER,PROFESSOR,4.0
English,1754,Brigham Young University - Idaho,Heidi,,Barker,1110275,35,good,TEACHER,PROFESSOR,4.0
Humanities,1754,Brigham Young University - Idaho,Devan,,Barker,1596802,42,average,TEACHER,PROFESSOR,3.3
Child & Family Studies,1754,Brigham Young University - Idaho,Trinity,,Barlow,2365158,2,poor,TEACHER,PROFESSOR,1.0
Counseling,1754,Brigham Young University - Idaho,Daniel,,Barnes,927195,32,good,TEACHER,PROFESSOR,3.7
Child  Family Studies,1754,Brigham Young University - Idaho,Bradley,,Barnett,2188245,6,good,TEACHER,PROFESSOR,4.2
Online Learning,1754,Brigham Young University - Idaho,Ryan,,Barney,1994629,2,good,TEACHER,PROFESSOR,4.5
Recreation,1754,Brigham Young University - Idaho,Keith ,,Barney,2061179,5,good,TEACHER,PROFESSOR,4.9
Information Systems,1754,Brigham Young University - Idaho,Lee,,Barney,977988,54,average,TEACHER,PROFESSOR,3.3
Communication,1754,Brigham Young University - Idaho,Ashley,,Barney,2576149,1,poor,TEACHER,PROFESSOR,1.0
Nursing,1754,Brigham Young University - Idaho,Kathleen,,Barnhill,909474,30,good,TEACHER,PROFESSOR,4.3
Religion,1754,Brigham Young University - Idaho,Ross,,Baron,678502,176,good,TEACHER,PROFESSOR,4.7
Online Learning,1754,Brigham Young University - Idaho,Kent Lamar,,Barrus,1872239,4,good,TEACHER,PROFESSOR,3.8
Religion,1754,Brigham Young University - Idaho,Ross,,Baron,678502,181,good,TEACHER,PROFESSOR,4.6
Online Learning,1754,Brigham Young University - Idaho,Kent Lamar,,Barrus,1872239,4,good,TEACHER,PROFESSOR,3.8
Economics,1754,Brigham Young University - Idaho,David,,Barrus,1675575,54,average,TEACHER,PROFESSOR,3.5
Health Science,1754,Brigham Young University - Idaho,Sean,,Bartholick,2019023,3,good,TEACHER,PROFESSOR,4.0
Religion,1754,Brigham Young University - Idaho,Ronald E.,,Bartholomew,1652671,12,good,TEACHER,PROFESSOR,4.3
Computer Information Technology,1754,Brigham Young University - Idaho,Rex,,Barzee,544976,79,good,TEACHER,PROFESSOR,4.7
Music,1754,Brigham Young University - Idaho,Brandon,,Bascom,1519360,10,good,TEACHER,PROFESSOR,4.6
Online Learning,1754,Brigham Young University - Idaho,Jeraldean,S.,Bascom,1989023,1,good,TEACHER,PROFESSOR,5.0
Psychology,1754,Brigham Young University - Idaho,Jason,,Basinger,2681158,2,good,TEACHER,PROFESSOR,4.5
Horticulture,1754,Brigham Young University - Idaho,Marilee,,Bass,921797,10,good,TEACHER,PROFESSOR,4.2
Mathematics,1754,Brigham Young University - Idaho,Larry,,Bassist,1596625,2,average,TEACHER,PROFESSOR,3.0
Art,1754,Brigham Young University - Idaho,Hattie,,Bates,1120851,10,good,TEACHER,PROFESSOR,4.3
Religion,1754,Brigham Young University - Idaho,Derald,O.,Bates,1854085,2,good,TEACHER,PROFESSOR,5.0
Business,1754,Brigham Young University - Idaho,Denny,,Bates,2272668,8,good,TEACHER,PROFESSOR,3.7
Foreign Languages & Literature,1754,Brigham Young University - Idaho,Daniel,,Bates,2655527,2,good,TEACHER,PROFESSOR,5.0
